SNR_dB,KDR_antes,KDR_pos_rec,KDR_pos_amp
-10.00,42.9780,46.3984,50.1805
-7.65,39.3378,44.5906,49.9395
-5.29,33.7803,41.8323,50.0230
-2.94,27.1717,38.2827,50.1047
-0.59,20.3071,35.0898,49.8918
1.76,13.8323,31.2449,48.8602
4.12,8.8598,16.8614,28.0246
6.47,5.6031,3.0913,5.1742
8.82,3.1472,0.1228,0.2059
11.18,1.9386,0.0000,0.0000
13.53,1.1236,0.0000,0.0000
15.88,0.6512,0.0000,0.0000
18.24,0.3677,0.0000,0.0000
20.59,0.2315,0.0000,0.0000
22.94,0.1315,0.0000,0.0000
25.29,0.0717,0.0000,0.0000
27.65,0.0535,0.0000,0.0000
30.00,0.0252,0.0000,0.0000
