SNR_dB,BPSK_BER,BPSK_KDR,QPSK_BER,QPSK_KDR
-10.00,44.4268,47.2732,44.7638,47.2858
-7.65,41.3827,45.7709,41.4126,45.8441
-5.29,36.8457,43.2614,37.1205,43.5205
-2.94,31.1843,40.7732,31.2110,40.4173
-0.59,24.6339,37.0850,24.7142,37.3646
1.76,18.2921,33.9165,18.3780,33.8409
4.12,12.8087,29.7843,12.6441,28.8496
6.47,8.4638,15.2173,8.5102,15.2646
8.82,5.5496,2.9346,5.4661,3.3709
11.18,3.4008,0.1520,3.3323,0.1961
13.53,2.0016,0.0000,2.0346,0.0346
15.88,1.1732,0.0000,1.2213,0.0000
18.24,0.7370,0.0000,0.8079,0.0000
20.59,0.4465,0.0000,0.4087,0.0000
22.94,0.2583,0.0000,0.2740,0.0000
25.29,0.1496,0.0000,0.1394,0.0000
27.65,0.0835,0.0000,0.0992,0.0000
30.00,0.0575,0.0000,0.0543,0.0000
