SNR_dB,BPSK_BMR,BPSK_KDR,QPSK_BMR,QPSK_KDR
-10.00,44.6866,47.3457,44.3614,47.1425
-7.65,41.5150,45.7118,41.5496,45.8638
-5.29,36.8559,43.3866,37.0913,43.4740
-2.94,31.2299,40.3472,31.3118,40.4913
-0.59,24.6496,37.4268,24.8071,37.4669
1.76,18.4402,33.8835,18.2622,33.9583
4.12,12.7094,29.2173,12.9024,29.6693
6.47,8.4260,15.6465,8.4843,15.6346
8.82,5.3669,2.3732,5.3756,3.1150
11.18,3.3693,0.0559,3.3795,0.2354
13.53,2.0504,0.0268,2.0189,0.0307
15.88,1.1701,0.0000,1.3244,0.0000
18.24,0.7244,0.0000,0.7024,0.0000
20.59,0.4378,0.0000,0.4094,0.0000
22.94,0.2528,0.0000,0.2756,0.0000
25.29,0.1496,0.0000,0.1528,0.0000
27.65,0.0858,0.0000,0.0827,0.0000
30.00,0.0598,0.0000,0.0472,0.0000
