SNR_dB,σ=0.5000_antes,σ=0.5000_pos,σ=0.7071_antes,σ=0.7071_pos,σ=1.0000_antes,σ=1.0000_pos,σ=2.0000_antes,σ=2.0000_pos
-10.00,46.4283,48.2134,43.1843,46.5756,37.7614,43.6441,21.5307,35.6047
-7.65,44.0969,47.0717,39.0866,44.5787,32.0315,40.8614,14.8787,32.0992
-5.29,40.4520,45.1268,33.6992,41.8362,25.5047,37.7441,9.7142,21.4268
-2.94,35.4118,42.5441,27.2512,38.7969,18.4803,33.8535,6.0197,4.6874
-0.59,29.4071,39.6906,20.4685,35.1008,12.5197,29.5567,3.5520,0.1748
1.76,22.2835,35.8827,13.9409,30.8976,8.0228,13.2488,2.1197,0.0000
4.12,15.7504,32.5260,9.0189,18.1031,4.8244,1.3614,1.2000,0.0000
6.47,10.3276,24.1764,5.5583,2.2110,2.7858,0.0283,0.7591,0.0000
8.82,6.3614,5.0150,3.2559,0.1724,1.6016,0.0000,0.4024,0.0000
11.18,3.7402,0.2685,1.9520,0.0000,0.9268,0.0000,0.2331,0.0000
13.53,2.2748,0.0000,1.1213,0.0000,0.5780,0.0000,0.1488,0.0000
15.88,1.3551,0.0000,0.6520,0.0000,0.3157,0.0000,0.0598,0.0000
18.24,0.7496,0.0000,0.3858,0.0000,0.1898,0.0000,0.0488,0.0000
20.59,0.4299,0.0000,0.2126,0.0000,0.1087,0.0000,0.0362,0.0000
22.94,0.2283,0.0000,0.1441,0.0000,0.0559,0.0000,0.0173,0.0000
25.29,0.1740,0.0000,0.0598,0.0000,0.0409,0.0000,0.0079,0.0000
27.65,0.0740,0.0000,0.0465,0.0000,0.0244,0.0000,0.0063,0.0000
30.00,0.0425,0.0000,0.0252,0.0000,0.0094,0.0000,0.0031,0.0000
