SNR_dB,BPSK_antes,BPSK_pos_rec,BPSK_pos_amp,QPSK_antes,QPSK_pos_rec,QPSK_pos_amp
-5.00,32.6667,37.3333,43.6641,33.3333,40.7333,45.3477
-2.78,28.4000,36.2000,44.5273,25.0000,30.3333,36.4688
-0.56,19.3333,20.6000,25.8906,19.6667,24.0667,30.4570
1.67,13.6667,13.0000,16.2891,13.5333,12.8000,17.0195
3.89,9.3333,3.6000,5.0625,10.0000,8.0667,10.6914
6.11,6.0667,2.4000,2.9648,5.6000,2.6667,3.4961
8.33,3.5333,0.6667,0.9531,3.8667,1.1333,1.5469
10.56,1.7333,0.0000,0.0000,2.0667,0.3333,0.4453
12.78,1.2000,0.0000,0.0000,1.4000,0.3333,0.5039
15.00,0.7333,0.0000,0.0000,1.1333,0.0000,0.0000
