SNR_dB,"BCH(7,4)_BER","BCH(7,4)_KDR","BCH(15,7)_BER","BCH(15,7)_KDR","BCH(127,64)_BER","BCH(127,64)_KDR"
-10.00,43.9714,44.8000,44.6800,47.0400,44.2409,47.3559
-7.65,42.4286,43.8000,41.3333,44.6667,41.3528,45.5969
-5.29,36.9429,38.4286,37.0800,41.8400,36.5354,43.2000
-2.94,31.2571,34.1143,31.7867,37.4267,31.1402,40.3307
-0.59,26.5714,28.3143,24.9467,30.2667,24.5984,37.2173
1.76,18.1429,16.6857,18.7200,20.5333,18.1921,34.0898
4.12,12.5429,10.1143,12.8667,11.4000,12.6898,30.0976
6.47,8.2286,5.1429,8.3867,5.0133,8.4472,15.5921
8.82,5.5143,2.3143,5.6933,1.9600,5.2457,2.4157
11.18,3.4000,0.7714,3.0800,0.2133,3.3921,0.0898
13.53,2.0000,0.0857,2.2133,0.0667,1.9827,0.0000
15.88,1.1143,0.0000,1.2667,0.0933,1.2189,0.0000
18.24,0.6857,0.0000,0.6667,0.0000,0.7307,0.0000
20.59,0.2571,0.0000,0.2933,0.0000,0.4157,0.0000
22.94,0.1429,0.0000,0.2667,0.0000,0.2520,0.0000
25.29,0.1429,0.0000,0.1600,0.0000,0.1748,0.0000
27.65,0.0286,0.0000,0.0933,0.0000,0.0819,0.0000
30.00,0.0000,0.0000,0.0400,0.0000,0.0677,0.0000
