SNR_dB,"BCH(7,4)_BMR","BCH(7,4)_KDR","BCH(15,7)_BMR","BCH(15,7)_KDR","BCH(127,64)_BMR","BCH(127,64)_KDR"
-10.00,44.9143,46.9429,44.9733,47.4933,44.6110,47.3181
-7.65,41.6000,42.6571,42.3733,45.8000,41.5685,45.6331
-5.29,36.6000,39.4000,36.9733,40.7467,36.8898,43.2567
-2.94,31.9429,33.4571,31.6533,37.3867,31.4362,40.4535
-0.59,25.7714,26.6857,24.9600,29.8667,24.8488,37.5087
1.76,18.2571,17.0857,18.4933,20.0533,18.2205,34.0173
4.12,13.2857,11.4571,12.4533,10.9733,12.6913,29.9087
6.47,7.3714,3.7143,8.9067,5.1600,8.3465,14.8709
8.82,5.0857,2.3429,5.4000,1.2267,5.4787,2.5575
11.18,3.8571,1.8571,3.7333,0.7067,3.4709,0.0000
13.53,2.0286,0.2857,2.1333,0.2400,2.1197,0.0000
15.88,1.1429,0.0857,1.2667,0.0000,1.2551,0.0000
18.24,0.7143,0.0000,0.5733,0.0000,0.7039,0.0000
20.59,0.3714,0.0000,0.3067,0.0000,0.4205,0.0000
22.94,0.2286,0.0000,0.2133,0.0000,0.2488,0.0000
25.29,0.2000,0.0000,0.1333,0.0000,0.1181,0.0000
27.65,0.0857,0.0000,0.0400,0.0000,0.0929,0.0000
30.00,0.0000,0.0000,0.0800,0.0000,0.0504,0.0000
