SNR_dB,"BCH(7,4)_antes","BCH(7,4)_pos","BCH(15,7)_antes","BCH(15,7)_pos","BCH(127,64)_antes","BCH(127,64)_pos"
-10.00,43.2000,43.9143,43.3200,46.8933,43.1843,46.3874
-7.65,39.1143,42.5143,39.3200,43.5200,38.9323,44.4740
-5.29,32.9714,35.8857,33.3467,39.4533,33.7969,42.1055
-2.94,27.0000,29.0000,27.3200,32.6000,27.2583,38.8331
-0.59,20.1714,20.1143,20.7733,24.8133,20.3323,34.9795
1.76,13.0857,10.4000,14.1467,13.4000,14.2252,31.7764
4.12,9.6571,6.0571,9.3467,5.2133,9.0079,18.3118
6.47,5.9429,2.5429,5.7067,1.8400,5.5764,3.5685
8.82,3.0571,0.5143,3.4400,0.4933,3.3118,0.1118
11.18,1.7714,0.3429,1.7867,0.1333,1.9764,0.0000
13.53,1.0000,0.0000,1.1067,0.0000,1.1449,0.0000
15.88,0.6286,0.0000,0.6400,0.0000,0.6898,0.0000
18.24,0.2286,0.0000,0.1733,0.0000,0.3858,0.0000
20.59,0.0286,0.0000,0.1867,0.0000,0.2205,0.0000
22.94,0.2286,0.0000,0.1067,0.0000,0.1323,0.0000
25.29,0.1143,0.0000,0.1333,0.0000,0.0819,0.0000
27.65,0.0571,0.0000,0.0533,0.0000,0.0425,0.0000
30.00,0.0000,0.0000,0.0267,0.0000,0.0142,0.0000
