perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,kdr_antes,kdr_pos_reconciliacao,kdr_pos_amplificacao
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,-5.0,33.55275590551181,41.67716535433071,49.903515625
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,-3.0,27.913385826771652,38.73937007874016,50.061328125
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,-1.0,21.769291338582676,35.58031496062992,50.064453125
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,1.0,16.298425196850392,32.82598425196851,49.56640625
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,3.0,11.577165354330708,27.5755905511811,45.053515625
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,5.0,7.6472440944881885,11.406299212598425,19.07265625
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,7.0,5.003149606299212,1.4905511811023622,2.5234375
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,9.0,3.2393700787401576,0.03228346456692913,0.053125
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,11.0,2.0771653543307087,0.0,0.0
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,13.0,1.3055118110236221,0.0,0.0
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,15.0,0.7866141732283465,0.0,0.0
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,17.0,0.5228346456692914,0.0,0.0
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,19.0,0.30393700787401573,0.0,0.0
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,21.0,0.2094488188976378,0.0,0.0
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,23.0,0.11811023622047244,0.0,0.0
pessoa_andando,5.0,2.4,0.15,0.4,16.114437988054405,11.11111111111111,0.9398301127377113,25.0,0.08346456692913386,0.0,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-5.0,35.725984251968505,42.88267716535433,50.0375
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-3.0,30.677952755905512,40.221259842519686,50.05546875
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-1.0,25.281889763779528,37.52677165354331,50.0203125
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,1.0,19.62755905511811,34.76850393700787,49.946484375
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,3.0,14.503937007874017,31.707086614173228,49.37265625
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,5.0,10.269291338582677,23.62992125984252,38.925
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,7.0,6.919685039370079,7.711811023622047,12.84765625
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,9.0,4.766929133858268,1.2503937007874015,2.183984375
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,11.0,3.069291338582677,0.05590551181102362,0.099609375
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,13.0,1.9622047244094487,0.0,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,15.0,1.2598425196850394,0.0,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,17.0,0.8007874015748031,0.0,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,19.0,0.5062992125984253,0.0,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,21.0,0.36929133858267715,0.0,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,23.0,0.2110236220472441,0.0,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,25.0,0.13937007874015747,0.0,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-5.0,36.235433070866144,42.98582677165354,50.21953125
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-3.0,31.11259842519685,40.48740157480315,50.094140625
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-1.0,25.231496062992125,37.33622047244094,50.021875
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,1.0,19.536220472440945,34.52677165354331,49.894140625
